Date,Time,Open,High,Low,Close,Volume,OpenInterest
2014-01-13,10:30:00,3112.18,3114.18,3112.18,3114.18,0,0
2014-01-13,10:35:00,3114.09,3114.30,3112.88,3114.30,0,0
2014-01-13,10:40:00,3114.31,3115.87,3114.31,3115.82,0,0
2014-01-13,10:45:00,3115.94,3116.89,3115.16,3115.38,0,0
2014-01-13,10:50:00,3115.42,3115.79,3114.93,3115.09,0,0
2014-01-13,10:55:00,3115.09,3115.53,3114.72,3115.23,0,0
2014-01-13,11:00:00,3115.14,3115.52,3114.95,3115.30,0,0
2014-01-13,11:05:00,3115.14,3115.14,3111.31,3111.50,0,0
2014-01-13,11:10:00,3111.52,3114.50,3111.42,3113.78,0,0
2014-01-13,11:15:00,3113.85,3114.12,3113.08,3114.12,0,0
2014-01-13,11:20:00,3113.89,3114.29,3113.08,3113.35,0,0
2014-01-13,11:25:00,3113.21,3113.66,3112.24,3112.57,0,0
2014-01-13,11:30:00,3112.34,3113.03,3112.20,3112.94,0,0
2014-01-13,11:35:00,3112.98,3113.41,3112.89,3113.19,0,0
2014-01-13,11:40:00,3113.37,3113.74,3111.90,3112.64,0,0
2014-01-13,11:45:00,3112.38,3112.48,3108.08,3108.63,0,0
2014-01-13,11:50:00,3108.52,3110.18,3108.14,3109.98,0,0
2014-01-13,11:55:00,3110.10,3110.74,3109.85,3110.06,0,0
2014-01-13,12:00:00,3109.94,3110.04,3109.48,3109.60,0,0
2014-01-13,12:05:00,3109.68,3109.68,3107.22,3107.93,0,0
2014-01-13,12:10:00,3108.03,3109.90,3107.88,3109.71,0,0
2014-01-13,12:15:00,3108.94,3110.10,3108.94,3109.25,0,0
2014-01-13,12:20:00,3109.26,3109.74,3106.70,3107.91,0,0
2014-01-13,12:25:00,3107.76,3107.96,3107.45,3107.75,0,0
2014-01-13,12:30:00,3107.70,3108.82,3107.69,3108.81,0,0
2014-01-13,12:35:00,3109.05,3109.05,3108.38,3108.44,0,0
2014-01-13,12:40:00,3108.36,3108.51,3106.08,3106.08,0,0
2014-01-13,12:45:00,3106.12,3106.61,3105.05,3105.05,0,0
2014-01-13,12:50:00,3105.01,3106.77,3105.01,3106.77,0,0
2014-01-13,12:55:00,3106.74,3107.73,3106.74,3107.46,0,0
2014-01-13,13:00:00,3107.46,3108.51,3107.41,3108.21,0,0
2014-01-13,13:05:00,3108.23,3108.50,3107.75,3107.87,0,0
2014-01-13,13:10:00,3108.03,3108.72,3107.99,3108.44,0,0
2014-01-13,13:15:00,3108.33,3109.09,3108.30,3108.61,0,0
2014-01-13,13:20:00,3108.60,3109.11,3108.24,3108.31,0,0
2014-01-13,13:25:00,3108.40,3109.05,3108.40,3109.01,0,0
2014-01-13,13:30:00,3109.01,3109.65,3108.91,3108.91,0,0
2014-01-13,13:35:00,3108.88,3109.24,3108.57,3109.24,0,0
2014-01-13,13:40:00,3109.23,3109.52,3109.20,3109.43,0,0
2014-01-13,13:45:00,3109.34,3109.96,3109.34,3109.81,0,0
2014-01-13,13:50:00,3109.74,3109.76,3108.52,3108.84,0,0
2014-01-13,13:55:00,3108.84,3109.70,3108.49,3108.68,0,0
2014-01-13,14:00:00,3108.71,3108.92,3107.69,3107.73,0,0
2014-01-13,14:05:00,3107.76,3107.94,3107.52,3107.72,0,0
2014-01-13,14:10:00,3107.73,3107.73,3106.34,3106.71,0,0
2014-01-13,14:15:00,3106.58,3106.58,3105.65,3106.26,0,0
2014-01-13,14:20:00,3105.62,3105.83,3104.68,3104.74,0,0
2014-01-13,14:25:00,3104.57,3105.31,3104.08,3105.31,0,0
2014-01-13,14:30:00,3105.34,3105.34,3104.52,3104.90,0,0
2014-01-13,14:35:00,3104.81,3104.82,3104.08,3104.69,0,0
2014-01-13,14:40:00,3104.61,3106.10,3104.61,3106.10,0,0
2014-01-13,14:45:00,3106.20,3106.69,3106.20,3106.57,0,0
2014-01-13,14:50:00,3106.68,3107.79,3106.68,3107.49,0,0
2014-01-13,14:55:00,3107.65,3107.65,3105.76,3105.76,0,0
2014-01-13,15:00:00,3105.23,3106.23,3104.92,3105.69,0,0
2014-01-13,15:05:00,3105.64,3106.46,3105.47,3106.39,0,0
2014-01-13,15:10:00,3106.98,3107.95,3105.51,3106.84,0,0
2014-01-13,15:15:00,3106.80,3107.07,3104.41,3104.72,0,0
2014-01-13,15:20:00,3104.59,3104.59,3102.17,3102.17,0,0
2014-01-13,15:25:00,3102.20,3102.74,3101.38,3102.65,0,0
2014-01-13,15:30:00,3102.66,3103.47,3102.33,3103.06,0,0
2014-01-13,15:35:00,3103.20,3106.68,3102.79,3106.68,0,0
2014-01-13,15:40:00,3106.73,3108.02,3105.82,3107.57,0,0
2014-01-13,15:45:00,3106.74,3108.55,3106.07,3108.31,0,0
2014-01-13,15:50:00,3108.27,3108.86,3107.24,3108.86,0,0
2014-01-13,15:55:00,3108.82,3108.90,3106.98,3107.73,0,0
2014-01-13,16:00:00,3107.89,3111.53,3107.89,3110.89,0,0
2014-01-13,16:05:00,3110.86,3113.58,3110.86,3112.22,0,0
2014-01-13,16:10:00,3112.69,3114.64,3112.69,3114.50,0,0
2014-01-13,16:15:00,3114.51,3114.68,3113.03,3113.03,0,0
2014-01-13,16:20:00,3113.19,3113.19,3111.47,3111.68,0,0
2014-01-13,16:25:00,3111.78,3113.14,3111.78,3113.14,0,0
2014-01-13,16:30:00,3113.20,3116.30,3112.74,3115.74,0,0
2014-01-13,16:35:00,3115.62,3116.03,3114.55,3114.61,0,0
2014-01-13,16:40:00,3114.44,3114.85,3113.24,3113.74,0,0
2014-01-13,16:45:00,3113.81,3113.97,3113.29,3113.76,0,0
2014-01-13,16:50:00,3113.59,3114.28,3113.52,3113.89,0,0
2014-01-13,16:55:00,3113.81,3114.48,3113.24,3113.35,0,0
2014-01-13,17:00:00,3113.25,3113.36,3112.62,3112.66,0,0
2014-01-13,17:05:00,3112.72,3112.89,3111.61,3111.93,0,0
2014-01-13,17:10:00,3112.02,3112.05,3110.71,3111.03,0,0
