Date,Open,High,Low,Close,Adj Close,Volume
1997-03-13,30.250000,30.250000,29.875000,29.937500,11.923263,8282200
1997-03-14,29.937500,30.062500,29.625000,29.750000,11.848588,6156600
1997-03-17,29.750000,30.125000,29.375000,30.125000,11.997945,5342800
1997-03-18,30.125000,30.312500,29.937500,30.187500,12.022835,5711800
1997-03-19,30.187500,30.250000,29.562500,29.812500,11.873479,6087200
1997-03-20,29.812500,29.875000,29.312500,29.500000,11.749021,4601200
1997-03-21,29.625000,30.125000,29.625000,30.000000,11.948156,9848000
1997-03-24,30.000000,30.062500,29.437500,29.875000,11.898376,6487000
1997-03-25,29.875000,30.187500,29.750000,29.750000,11.848588,6652000
1997-03-26,29.687500,29.687500,29.062500,29.312500,11.674345,7335200
1997-03-27,29.312500,29.500000,28.312500,28.687500,11.425430,9268200
1997-03-31,28.437500,28.437500,27.625000,27.875000,11.101831,13222800
1997-04-01,27.875000,28.312500,27.562500,28.062500,11.176501,10285200
1997-04-02,28.062500,28.375000,27.750000,27.875000,11.101831,5577000
1997-04-03,27.875000,27.937500,27.562500,27.687500,11.027159,6560000
1997-04-04,27.687500,28.687500,27.562500,28.687500,11.425430,6555400
1997-04-07,28.687500,28.812500,28.187500,28.187500,11.226290,4746800
1997-04-08,28.187500,28.500000,27.812500,28.375000,11.300966,4562400
1997-04-09,28.375000,28.812500,28.250000,28.812500,11.475205,4871200
1997-04-10,28.812500,28.875000,28.500000,28.500000,11.350749,3512200
1997-04-11,28.250000,28.250000,26.375000,26.875000,10.703560,9281800
1997-04-14,27.125000,27.937500,27.125000,27.812500,11.076936,9076800
1997-04-15,28.250000,29.125000,28.250000,29.000000,11.549885,9081200
1997-04-16,29.000000,29.500000,28.875000,29.375000,11.699236,7066000
1997-04-17,29.375000,29.687500,29.187500,29.250000,11.649456,6547600
1997-04-18,29.250000,29.937500,29.250000,29.812500,11.873479,7851400
1997-04-21,29.812500,30.000000,29.250000,29.312500,11.674345,6825800
1997-04-22,29.500000,30.937500,29.500000,30.937500,12.321532,10975200
1997-04-23,30.937500,30.937500,29.937500,30.125000,11.997945,7897400
1997-04-24,30.125000,30.500000,29.875000,30.000000,11.948156,4965000
1997-04-25,30.000000,30.062500,29.500000,29.562500,11.773910,3983000
1997-04-28,29.562500,30.562500,29.437500,30.562500,12.172184,4662200
1997-04-29,30.750000,31.375000,30.750000,31.312500,12.470890,8004600
1997-04-30,31.312500,31.875000,31.125000,31.812500,12.670026,8171000
1997-05-01,31.562500,31.562500,31.062500,31.062500,12.371325,6145400
1997-05-02,31.187500,32.125000,31.187500,32.000000,12.744700,5663200
1997-05-05,32.000000,33.000000,32.000000,33.000000,13.142966,7260200
1997-05-06,33.000000,33.562500,32.812500,33.250000,13.242543,10744400
1997-05-07,33.250000,33.250000,32.625000,32.687500,13.018511,6473600
1997-05-08,32.687500,33.062500,32.312500,32.312500,12.869165,8315800
1997-05-09,32.312500,32.812500,32.125000,32.687500,13.018511,6832400
1997-05-12,32.687500,33.375000,32.687500,33.250000,13.242543,5201600
1997-05-13,33.250000,33.375000,32.812500,33.250000,13.242543,5670800
1997-05-14,33.375000,33.750000,33.375000,33.500000,13.342112,5574600
1997-05-15,33.500000,34.000000,33.250000,33.937500,13.516356,4740400
1997-05-16,33.937500,34.187500,33.375000,33.437500,13.317216,9446000
1997-05-19,33.625000,34.187500,33.625000,34.000000,13.541244,5010000
1997-05-20,34.000000,34.250000,33.750000,34.187500,13.615920,5029600
1997-05-21,34.187500,34.375000,33.562500,33.687500,13.416782,6042600
1997-05-22,33.687500,33.812500,33.187500,33.250000,13.242543,4778200
1997-05-23,33.437500,34.187500,33.437500,34.062500,13.566133,3512600
1997-05-27,34.062500,34.500000,33.437500,34.250000,13.640812,6125800
1997-05-28,34.125000,34.125000,33.500000,33.625000,13.391888,4731400
1997-05-29,33.625000,33.750000,33.437500,33.750000,13.441679,3060200
1997-05-30,33.750000,34.312500,33.500000,34.250000,13.640812,4255600
1997-06-02,34.187500,34.187500,33.750000,33.812500,13.466571,3519200
1997-06-03,33.812500,34.187500,33.562500,33.937500,13.516356,4326200
1997-06-04,33.937500,33.937500,33.312500,33.312500,13.267433,5249800
